nOrdenItem,cEntidad,cDepartamento,cProvincia,cDistrito,cCodOficina,nDepositosAhorroMN,nDepositosAhorroME,nDepositosAhorroTotal,nDepositosPlazoMN,nDepositosPlazoME,nDepositosPlazoTotal,nTotalDepósitos,nCreditosDirectosMN,nCreditosDirectosME,nCreditosDirectosTotal,dFecha
0,CMAC AREQUIPA,Amazonas,Chachapoyas,Chachapoyas,183,644.61293,0.22122,644.83415,641.52027,0.0,641.52027,1286.35442,16203.57596,0.0,16203.57596,2024-04-30
1,CMAC AREQUIPA,Ancash,Huaraz,Huaraz,156,1348.11645,160.78041000000002,1508.89686,5394.888690000001,0.0,5394.888690000001,6903.78555,46053.79589,0.0,46053.79589,2024-04-30
2,CMAC AREQUIPA,Ancash,Santa,Chimbote,146,1987.85057,29.71441,2017.5649799999999,10082.1644,399.57982,10481.74422,12499.3092,23195.32844,0.0,23195.32844,2024-04-30
3,CMAC AREQUIPA,Apurimac,Abancay,Abancay,13,11241.42981,989.35377,12230.78358,16516.7359,838.56051,17355.29641,29586.07999,99596.52293,58.10375,99654.62668,2024-04-30
4,CMAC AREQUIPA,Apurimac,Andahuaylas,Andahuaylas,29,7792.14625,283.0638,8075.21005,3537.21152,190.69409,3727.90561,11803.11566,131535.25916,0.0,131535.25916,2024-04-30
5,CMAC AREQUIPA,Apurimac,Chincheros,Chincheros,57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1230.215,0.0,1230.215,2024-04-30
6,CMAC AREQUIPA,Apurimac,Grau,Chuquibambilla,58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,317.54863,0.0,317.54863,2024-04-30
7,CMAC AREQUIPA,Arequipa,Arequipa,Arequipa,1,165827.79649,48535.2175,214363.01399,300934.91939,23169.01744,324103.93682999996,538466.95082,62309.15279,474.93182,62784.08461,2024-04-30
8,CMAC AREQUIPA,Arequipa,Arequipa,Arequipa,3,52720.37084,15384.305769999999,68104.67661,110255.05356999999,7915.482480000001,118170.53605,186275.21266,94622.18945,673.23172,95295.42117,2024-04-30
9,CMAC AREQUIPA,Arequipa,Arequipa,Arequipa,5,39485.8036,7929.50797,47415.31157,74952.25028000001,4758.8006399999995,79711.05092000001,127126.36249,112540.90287,3958.15218,116499.05505,2024-04-30
10,CMAC AREQUIPA,Arequipa,Arequipa,Arequipa,9,105228.74521,25057.72507,130286.47028,359292.68095999997,30843.86651,390136.54747000005,520423.01775,251600.25693,1017.80485,252618.06178,2024-04-30
11,CMAC AREQUIPA,Arequipa,Arequipa,Arequipa,85,34769.36415,10809.72815,45579.0923,67768.46883,5191.05743,72959.52626,118538.61856,95922.43516,1864.42019,97786.85535,2024-04-30
12,CMAC AREQUIPA,Arequipa,Arequipa,Cayma,4,65785.84155,17266.789940000002,83052.63149,190344.51684999999,14290.19869,204634.71554,287687.34702999995,114874.6935,517.49551,115392.18901,2024-04-30
13,CMAC AREQUIPA,Arequipa,Arequipa,Cayma,162,6313.40316,732.73358,7046.13674,23598.970839999998,874.99736,24473.9682,31520.10494,22179.39109,0.0,22179.39109,2024-04-30
14,CMAC AREQUIPA,Arequipa,Arequipa,Cerro Colorado,25,13178.439279999999,2451.62608,15630.065359999999,28558.642219999998,650.77286,29209.41508,44839.48044,54818.429280000004,235.78897,55054.21825,2024-04-30
15,CMAC AREQUIPA,Arequipa,Arequipa,Cerro Colorado,31,12659.28169,1323.96939,13983.25108,21209.584170000002,101.81195,21311.39612,35294.6472,74144.70062,181.08239,74325.78301,2024-04-30
16,CMAC AREQUIPA,Arequipa,Arequipa,Cerro Colorado,184,14363.76914,5721.07448,20084.84362,64096.94393,5218.0803399999995,69315.02427,89399.86789,40778.76869,98.23272999999999,40877.00142,2024-04-30
17,CMAC AREQUIPA,Arequipa,Arequipa,Jose Luis Bustamante y Rivero,2,54163.064119999995,14994.724330000001,69157.78845000001,1053465.75431,23883.681800000002,1077349.43611,1146507.22456,119610.21467,7031.00131,126641.21598000001,2024-04-30
18,CMAC AREQUIPA,Arequipa,Arequipa,Jose Luis Bustamante y Rivero,56,8154.845179999999,961.01258,9115.857759999999,13921.48582,329.36359000000004,14250.84941,23366.70717,60580.48183,468.26696999999996,61048.748799999994,2024-04-30
