nOrdenItem,cEntidad,cDepartamento,cProvincia,cDistrito,cCodOficina,nDepositosAhorroMN,nDepositosAhorroME,nDepositosAhorroTotal,nDepositosPlazoMN,nDepositosPlazoME,nDepositosPlazoTotal,nTotalDepósitos,nCreditosDirectosMN,nCreditosDirectosME,nCreditosDirectosTotal,dFecha
0,CMAC AREQUIPA,Amazonas,Chachapoyas,Chachapoyas,183,670.05111,0.23405,670.28516,689.0346800000001,0.0,689.0346800000001,1359.31984,15400.674050000001,0.0,15400.674050000001,2024-01-31
1,CMAC AREQUIPA,Ancash,Huaraz,Huaraz,156,1342.7313000000001,211.84975,1554.58105,4580.2565,0.0,4580.2565,6134.83755,44672.50263,0.0,44672.50263,2024-01-31
2,CMAC AREQUIPA,Ancash,Santa,Chimbote,146,1878.07247,32.327040000000004,1910.39951,10248.42575,87.79925,10336.225,12246.62451,23614.842780000003,0.0,23614.842780000003,2024-01-31
3,CMAC AREQUIPA,Apurimac,Abancay,Abancay,13,11259.62108,930.61911,12190.240189999999,16943.23294,425.15653000000003,17368.38947,29558.62966,98149.19608,62.35737,98211.55345,2024-01-31
4,CMAC AREQUIPA,Apurimac,Andahuaylas,Andahuaylas,29,7239.3214100000005,331.04399,7570.365400000001,3334.28739,193.50732,3527.79471,11098.160109999999,126691.24369,0.0,126691.24369,2024-01-31
5,CMAC AREQUIPA,Apurimac,Chincheros,Chincheros,57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1238.84228,0.0,1238.84228,2024-01-31
6,CMAC AREQUIPA,Apurimac,Grau,Chuquibambilla,58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,345.37503999999996,0.0,345.37503999999996,2024-01-31
7,CMAC AREQUIPA,Arequipa,Arequipa,Arequipa,1,154718.58604,42902.31862,197620.90466,298264.09388,21880.376210000002,320144.47008999996,517765.37475,64192.69068,523.99491,64716.68559,2024-01-31
8,CMAC AREQUIPA,Arequipa,Arequipa,Arequipa,3,50468.17314,16408.51575,66876.68889,107224.62044,7021.008690000001,114245.62913,181122.31802,92997.33738,749.83352,93747.17090000001,2024-01-31
9,CMAC AREQUIPA,Arequipa,Arequipa,Arequipa,5,40814.142289999996,7339.63636,48153.77865,72196.76343,3438.8920200000002,75635.65545,123789.4341,112550.77004,4176.18354,116726.95358,2024-01-31
10,CMAC AREQUIPA,Arequipa,Arequipa,Arequipa,9,102619.50822,25305.87354,127925.38176,357279.82138,29045.9315,386325.75288,514251.13464,242512.73775,1190.1426000000001,243702.88035,2024-01-31
11,CMAC AREQUIPA,Arequipa,Arequipa,Arequipa,85,32702.16766,11730.855230000001,44433.02289,66933.56649,4617.09132,71550.65781,115983.6807,94963.81461,1942.1361200000001,96905.95073000001,2024-01-31
12,CMAC AREQUIPA,Arequipa,Arequipa,Cayma,4,68192.59122,20962.3403,89154.93152,181916.66138,13208.21314,195124.87452,284279.80604,114542.70774,565.22746,115107.9352,2024-01-31
13,CMAC AREQUIPA,Arequipa,Arequipa,Cayma,162,6649.9374800000005,891.9624399999999,7541.89992,21510.66575,682.3937099999999,22193.05946,29734.95938,21157.11142,0.0,21157.11142,2024-01-31
14,CMAC AREQUIPA,Arequipa,Arequipa,Cerro Colorado,25,13001.84995,2185.27554,15187.12549,29045.21294,456.30851,29501.52145,44688.64694,54404.10007,281.48022,54685.58029,2024-01-31
15,CMAC AREQUIPA,Arequipa,Arequipa,Cerro Colorado,31,12939.7056,1507.14081,14446.84641,19264.59102,109.62017,19374.21119,33821.0576,71123.84968000001,187.33502,71311.1847,2024-01-31
16,CMAC AREQUIPA,Arequipa,Arequipa,Cerro Colorado,184,11547.73153,4965.72942,16513.46095,59620.85549,3408.82614,63029.68163,79543.14258,40396.10604,110.55333,40506.659369999994,2024-01-31
17,CMAC AREQUIPA,Arequipa,Arequipa,Jose Luis Bustamante y Rivero,2,50023.74053,17016.84226,67040.58279,1131575.0424600001,29512.49007,1161087.53253,1228128.1153199999,117829.92236,10760.69054,128590.61290000001,2024-01-31
18,CMAC AREQUIPA,Arequipa,Arequipa,Jose Luis Bustamante y Rivero,56,7528.4073499999995,1047.1362900000001,8575.54364,13351.426449999999,267.91108,13619.337529999999,22194.88117,59859.55012,477.36643,60336.916549999994,2024-01-31
