nOrdenItem,cEntidad,cDepartamento,cProvincia,cDistrito,cCodOficina,nDepositosAhorroMN,nDepositosAhorroME,nDepositosAhorroTotal,nDepositosPlazoMN,nDepositosPlazoME,nDepositosPlazoTotal,nTotalDepósitos,nCreditosDirectosMN,nCreditosDirectosME,nCreditosDirectosTotal,dFecha
0,CMAC AREQUIPA,Amazonas,Chachapoyas,Chachapoyas,183,684.16375,1.27794,685.44169,685.96246,0.0,685.96246,1371.4041499999998,15644.521929999999,0.0,15644.521929999999,2024-02-29
1,CMAC AREQUIPA,Ancash,Huaraz,Huaraz,156,1398.28901,192.18969,1590.4787,4508.8341900000005,0.0,4508.8341900000005,6099.312889999999,44960.96744,0.0,44960.96744,2024-02-29
2,CMAC AREQUIPA,Ancash,Santa,Chimbote,146,1934.1758200000002,32.99007,1967.16589,9999.96028,351.06284999999997,10351.023130000001,12318.18902,23558.279469999998,0.0,23558.279469999998,2024-02-29
3,CMAC AREQUIPA,Apurimac,Abancay,Abancay,13,11300.94904,747.14718,12048.096220000001,16402.27722,816.17929,17218.45651,29266.55273,98220.44271999999,60.8512,98281.29392,2024-02-29
4,CMAC AREQUIPA,Apurimac,Andahuaylas,Andahuaylas,29,7330.19996,326.59439000000003,7656.794349999999,3543.83932,192.31448999999998,3736.1538100000002,11392.94816,128648.01577,0.0,128648.01577,2024-02-29
5,CMAC AREQUIPA,Apurimac,Chincheros,Chincheros,57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1275.5488300000002,0.0,1275.5488300000002,2024-02-29
6,CMAC AREQUIPA,Apurimac,Grau,Chuquibambilla,58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,326.3157,0.0,326.3157,2024-02-29
7,CMAC AREQUIPA,Arequipa,Arequipa,Arequipa,1,175260.85588999998,40728.44163,215989.29752000002,298261.42858,22952.74446,321214.17304,537203.4705599999,63624.77132,505.33756,64130.10888,2024-02-29
8,CMAC AREQUIPA,Arequipa,Arequipa,Arequipa,3,51468.58168,16056.764009999999,67525.34569,108858.39204,7645.33454,116503.72658,184029.07227,93716.97884000001,723.38,94440.35884,2024-02-29
9,CMAC AREQUIPA,Arequipa,Arequipa,Arequipa,5,40820.89297,7909.85253,48730.7455,72969.52062000001,3863.50326,76833.02388,125563.76938,113056.60837,4103.47358,117160.08195,2024-02-29
10,CMAC AREQUIPA,Arequipa,Arequipa,Arequipa,9,106364.22906,24750.690489999997,131114.91955,358957.86255,28958.322969999997,387916.18552,519031.10507,257818.40842,1132.74389,258951.15231,2024-02-29
11,CMAC AREQUIPA,Arequipa,Arequipa,Arequipa,85,33672.02301,11183.43427,44855.45728,67261.74999,4701.9182,71963.66819,116819.12547,95485.58467,1916.1830400000001,97401.76771,2024-02-29
