nOrdenItem,cEntidad,cDepartamento,cProvincia,cDistrito,cCodOficina,nDepositosAhorroMN,nDepositosAhorroME,nDepositosAhorroTotal,nDepositosPlazoMN,nDepositosPlazoME,nDepositosPlazoTotal,nTotalDepósitos,nCreditosDirectosMN,nCreditosDirectosME,nCreditosDirectosTotal,dFecha
0,CMAC AREQUIPA,Amazonas,Chachapoyas,Chachapoyas,183,820.48523,1.56629,822.05152,688.01503,0.0,688.01503,1510.06655,16191.50734,0.0,16191.50734,2024-03-31
1,CMAC AREQUIPA,Ancash,Huaraz,Huaraz,156,1415.68927,147.44198,1563.13125,4642.0529400000005,0.0,4642.0529400000005,6205.184190000001,45455.99299,0.0,45455.99299,2024-03-31
2,CMAC AREQUIPA,Ancash,Santa,Chimbote,146,2134.14946,33.44505,2167.59451,10250.38101,396.48725,10646.86826,12814.46277,23100.824760000003,0.0,23100.824760000003,2024-03-31
3,CMAC AREQUIPA,Apurimac,Abancay,Abancay,13,11407.46144,787.63417,12195.09561,16269.992279999999,802.8463,17072.83858,29267.93419,98512.80923,58.73607,98571.5453,2024-03-31
4,CMAC AREQUIPA,Apurimac,Andahuaylas,Andahuaylas,29,7425.4620700000005,309.49994,7734.96201,3593.8136,189.18965,3783.00325,11517.965259999999,129981.48177,0.0,129981.48177,2024-03-31
5,CMAC AREQUIPA,Apurimac,Chincheros,Chincheros,57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1249.13979,0.0,1249.13979,2024-03-31
6,CMAC AREQUIPA,Apurimac,Grau,Chuquibambilla,58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,304.73183,0.0,304.73183,2024-03-31
7,CMAC AREQUIPA,Arequipa,Arequipa,Arequipa,1,161603.31816,40904.70353,202508.02169,300384.76058999996,23120.992,323505.75259,526013.77428,62847.83629,480.36897999999997,63328.205270000006,2024-03-31
8,CMAC AREQUIPA,Arequipa,Arequipa,Arequipa,3,52113.345649999996,14846.903869999998,66960.24952,109263.02166,8087.933190000001,117350.95485,184311.20437,94118.92526999999,689.66665,94808.59192,2024-03-31
9,CMAC AREQUIPA,Arequipa,Arequipa,Arequipa,5,39377.88851,7984.35539,47362.2439,74432.60837999999,4831.47692,79264.08529999999,126626.32920000001,112454.70765000001,3987.54529,116442.25293999999,2024-03-31
10,CMAC AREQUIPA,Arequipa,Arequipa,Arequipa,9,109882.52849,25189.57823,135072.10672,359881.6722,29240.71093,389122.38313,524194.48985,256440.13538999998,1064.27474,257504.41013,2024-03-31
11,CMAC AREQUIPA,Arequipa,Arequipa,Arequipa,85,33870.93335,10786.80183,44657.73518,67779.52723,4386.80219,72166.32942,116824.0646,95161.29685,1867.54511,97028.84195999999,2024-03-31
12,CMAC AREQUIPA,Arequipa,Arequipa,Cayma,4,63401.693119999996,18653.52408,82055.2172,187403.43534,13677.99691,201081.43225,283136.64944999997,114401.70743000001,528.85352,114930.56095,2024-03-31
13,CMAC AREQUIPA,Arequipa,Arequipa,Cayma,162,6492.725179999999,542.66075,7035.3859299999995,22964.84493,868.22531,23833.070239999997,30868.45617,21778.41932,0.0,21778.41932,2024-03-31
14,CMAC AREQUIPA,Arequipa,Arequipa,Cerro Colorado,25,17475.061739999997,1590.73515,19065.79689,28797.057129999997,563.06944,29360.12657,48425.92346,54790.11742,248.84095000000002,55038.95837,2024-03-31
15,CMAC AREQUIPA,Arequipa,Arequipa,Cerro Colorado,31,12912.346019999999,1268.3319,14180.67792,20300.337489999998,102.88296000000001,20403.22045,34583.898369999995,73090.84296,181.44673,73272.28968999999,2024-03-31
16,CMAC AREQUIPA,Arequipa,Arequipa,Cerro Colorado,184,14171.95495,5255.61788,19427.572829999997,61387.21355,3907.45705,65294.670600000005,84722.24343,41180.58351,99.59213000000001,41280.17564,2024-03-31
17,CMAC AREQUIPA,Arequipa,Arequipa,Jose Luis Bustamante y Rivero,2,52822.03925,18187.64964,71009.68889,1157948.89306,22792.569480000002,1180741.46254,1251751.15143,120001.41128,7296.29384,127297.70512,2024-03-31
18,CMAC AREQUIPA,Arequipa,Arequipa,Jose Luis Bustamante y Rivero,56,7513.12628,1129.5791399999998,8642.70542,13675.498599999999,318.05478999999997,13993.553390000001,22636.25881,60183.27107,466.45909,60649.73016,2024-03-31
19,CMAC AREQUIPA,Arequipa,Arequipa,Jose Luis Bustamante y Rivero,185,3305.71528,145.48848,3451.20376,6893.2985,233.78862,7127.08712,10578.29088,46207.46335,745.3279399999999,46952.79129,2024-03-31
20,CMAC AREQUIPA,Arequipa,Arequipa,La Joya,44,13141.91283,1813.45914,14955.37197,9965.14878,749.56783,10714.71661,25670.08858,70040.76801999999,0.0,70040.76801999999,2024-03-31
21,CMAC AREQUIPA,Arequipa,Arequipa,Miraflores,23,15800.24263,2989.9535699999997,18790.1962,51852.72271,2733.15727,54585.87998,73376.07618,88148.35104000001,666.2979399999999,88814.64898,2024-03-31
22,CMAC AREQUIPA,Arequipa,Arequipa,Miraflores,188,2274.53655,719.4770100000001,2994.01356,14745.95275,1119.30613,15865.258880000001,18859.27244,17016.333329999998,0.0,17016.333329999998,2024-03-31
23,CMAC AREQUIPA,Arequipa,Arequipa,Paucarpata,38,11004.964880000001,1355.72595,12360.69083,26975.684390000002,391.2617,27366.94609,39727.636920000004,49293.80369,299.27866,49593.082350000004,2024-03-31
24,CMAC AREQUIPA,Arequipa,Arequipa,Paucarpata,81,33123.88055,12500.22166,45624.10221,205061.24491,16804.52897,221865.77388,267489.87609,30953.330289999998,41.14614,30994.47643,2024-03-31
